,ServiceAreaId,IssuerId,TEHBCombInnOonFamilyPerGroupMOOP,EHBPercentTotalPremium,TEHBInnTier1IndividualMOOP,TEHBOutOfNetFamilyPerPersonMOOP,TEHBInnTier1FamilyPerGroupMOOP,TEHBOutOfNetFamilyPerGroupMOOP,SBCHavingaBabyCoinsurance,OutOfServiceAreaCoverageDescription,TEHBOutOfNetIndividualMOOP,SBCHavingaBabyCopayment,TEHBInnTier1FamilyPerPersonMOOP,TEHBCombInnOonFamilyPerPersonMOOP,TEHBCombInnOonIndividualMOOP,act_value,SBCHavingDiabetesCopayment,SBCHavingDiabetesCoinsurance,SBCHavingDiabetesDeductible,SBCHavingaBabyDeductible
3969,INS001,33380,0,0.9573,6,0,12000,0,410,0,0,510,6000,0,0,80.0967574119568,520,220,750,750
3970,INS001,33380,0,0.9573,6,0,12000,0,410,0,0,510,6000,0,0,80.0967574119568,520,220,750,750
3971,INS001,33380,0,0.9573,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,0,0
3972,INS001,33380,0,0.9573,6,0,12000,0,410,0,0,510,6000,0,0,80.0967574119568,520,220,750,750
3973,INS001,33380,0,0.9481,5,0,11500,0,240,0,0,760,5750,0,0,71.9566822052002,410,280,2,2
3974,INS001,33380,0,0.9481,5,0,11500,0,240,0,0,760,5750,0,0,71.9566822052002,410,280,2,2
3975,INS001,33380,0,0.9481,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,0,0
3976,INS001,33380,0,0.9481,5,0,11500,0,240,0,0,760,5750,0,0,71.9566822052002,410,280,2,2
3977,INS001,33380,0,0.9481,4,0,8800,0,250,0,0,760,4400,0,0,73.96718859672549,410,280,1,1
3978,INS001,33380,0,0.9481,1,0,3000,0,200,0,0,510,1500,0,0,87.7996683120728,420,110,750,750
3979,INS001,33380,0,0.9481,500,0,1000,0,260,0,0,90,500,0,0,94.83346343040469,280,70,150,150
3980,INS001,33380,0,0.9341,6,0,13700,0,0,0,0,850,6850,0,0,61.9259476661682,0,0,5,6
3981,INS001,33380,0,0.9341,6,0,13700,0,0,0,0,850,6850,0,0,61.9259476661682,0,0,5,6
3982,INS001,33380,0,0.9341,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,0,0
3983,INS001,33380,0,0.9341,6,0,13700,0,0,0,0,850,6850,0,0,61.9259476661682,0,0,5,6
3984,INS001,34537,0,0.0,0,0,0,0,0,0,0,0,0,0,0,85.0,0,0,0,0
3985,INS001,34537,0,0.0,0,0,0,0,0,0,0,0,0,0,0,85.0,0,0,0,0
3986,INS001,36373,0,0.999,6,0,13700,0,0,0,0,10,6850,0,0,68.3,1,0,300,4
3987,INS001,34537,0,0.0,0,0,0,0,0,0,0,0,0,0,0,85.0,0,0,0,0
3988,INS001,34537,0,0.0,0,0,0,0,0,0,0,0,0,0,0,85.0,0,0,0,0
3989,INS001,36373,0,0.999,6,0,13000,0,0,0,0,10,6500,0,0,70.8311021327972,400,0,3,3
3990,INS001,36373,0,0.999,6,0,13000,0,0,0,0,10,6500,0,0,70.8311021327972,400,0,3,3
3991,INS001,36373,0,0.999,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,0,0
3992,INS001,36373,0,0.999,6,0,13000,0,0,0,0,10,6500,0,0,70.8311021327972,400,0,3,3
3993,INS001,36373,0,0.999,5,0,10400,0,0,0,0,10,5200,0,0,73.79140257835391,500,0,2,2
3994,INS001,36373,0,0.999,2,0,4500,0,0,0,0,10,2250,0,0,87.7197504043579,700,0,800,800
3995,INS001,36373,0,0.999,1,0,2000,0,0,0,0,10,1000,0,0,94.20800805091861,800,0,300,300
3996,INS001,36373,0,0.999,6,0,13000,0,0,0,0,20,6500,0,0,61.804127693176305,0,0,5,5
3997,INS001,36373,0,0.999,6,0,13000,0,0,0,0,20,6500,0,0,61.804127693176305,0,0,5,5
3998,INS001,36373,0,0.999,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,0,0
3999,INS001,36373,0,0.999,6,0,13000,0,0,0,0,20,6500,0,0,61.804127693176305,0,0,5,5
4000,INS001,36373,0,0.999,6,0,13700,0,1,0,0,10,6850,0,0,78.29,900,0,300,1
4001,INS001,36373,0,0.999,6,0,13700,0,1,0,0,10,6850,0,0,78.29,900,0,300,1
4002,INS001,36373,0,0.999,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,0,0
4003,INS001,36373,0,0.999,6,0,13700,0,1,0,0,10,6850,0,0,78.29,900,0,300,1
4004,INS001,36373,0,0.999,6,0,13700,0,1,0,0,20,6850,0,0,69.3,1,0,300,2
4005,INS001,36373,0,0.999,6,0,13700,0,1,0,0,20,6850,0,0,69.3,1,0,300,2
4006,INS001,36373,0,0.999,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,0,0
4007,INS001,36373,0,0.999,6,0,13700,0,1,0,0,20,6850,0,0,69.3,1,0,300,2
4008,INS001,36373,0,0.999,5,0,10400,0,1,0,0,20,5200,0,0,73.4,1,0,300,1
4009,INS001,36373,0,0.999,2,0,4500,0,600,0,0,10,2250,0,0,87.9,1,0,300,300
4010,INS001,36373,0,0.999,550,0,1100,0,500,0,0,0,550,0,0,93.9,400,10,100,100
4011,INS001,36373,0,0.999,6,0,13700,0,600,0,0,10,6850,0,0,68.0,1,0,300,3
4012,INS001,36373,0,0.999,6,0,13700,0,600,0,0,10,6850,0,0,68.0,1,0,300,3
4013,INS001,36373,0,0.999,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,0,0
4014,INS001,36373,0,0.999,6,0,13700,0,600,0,0,10,6850,0,0,68.0,1,0,300,3
4015,INS001,36373,0,0.999,5,0,10400,0,800,0,0,10,5200,0,0,72.5,1,0,300,2
4016,INS001,36373,0,0.999,2,0,4500,0,600,0,0,10,2250,0,0,87.9,1,0,300,300
4017,INS001,36373,0,0.999,550,0,1100,0,500,0,0,0,550,0,0,93.9,400,10,100,100
4018,INS001,36373,0,0.999,6,0,13700,0,0,0,0,10,6850,0,0,68.3,1,0,300,4
4019,INS001,36373,0,0.999,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,0,0
4020,INS001,36373,0,0.999,6,0,13700,0,0,0,0,10,6850,0,0,68.3,1,0,300,4
4021,INS001,36373,0,0.999,5,0,10400,0,0,0,0,10,5200,0,0,72.5,1,0,300,3
4022,INS001,36373,0,0.999,2,0,4500,0,0,0,0,10,2250,0,0,86.1,1,0,300,600
4023,INS001,36373,0,0.999,550,0,1100,0,0,0,0,10,550,0,0,93.3,500,0,100,100
4024,INS001,36373,0,0.999,6,0,13700,0,0,0,0,0,6850,0,0,61.9,400,0,4,6
4025,INS001,36373,0,0.999,6,0,13700,0,0,0,0,0,6850,0,0,61.9,400,0,4,6
4026,INS001,36373,0,0.999,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,0,0
