,ServiceAreaId,IssuerId,OutOfServiceAreaCoverageDescription,TEHBOutOfNetIndividualMOOP,TEHBCombInnOonFamilyPerPersonMOOP,TEHBInnTier1IndividualMOOP,SBCHavingaBabyDeductible,TEHBCombInnOonIndividualMOOP,TEHBOutOfNetFamilyPerPersonMOOP,act_value,TEHBInnTier1FamilyPerGroupMOOP,EHBPercentTotalPremium,SBCHavingDiabetesDeductible,TEHBInnTier1FamilyPerPersonMOOP,SBCHavingDiabetesCoinsurance,SBCHavingaBabyCoinsurance,SBCHavingaBabyCopayment,TEHBCombInnOonFamilyPerGroupMOOP,TEHBOutOfNetFamilyPerGroupMOOP,SBCHavingDiabetesCopayment
5074,MOS001,32753,0,0,0,0,0,0,0,100.0,0,1.0,0,0,0,0,0,0,0,0
5075,MOS001,32753,0,10,0,5,3,0,10000,69.65487599372861,10000,1.0,1,5000,0,311,500,0,20000,0
5076,MOS001,32753,0,10,0,3,2,0,10000,72.8984713554382,7400,1.0,1,3700,0,351,500,0,20000,0
5077,MOS001,32753,0,10,0,1,1,0,10000,87.46,2300,1.0,1,1150,0,0,0,0,20000,0
5078,MOS001,32753,0,10,0,500,500,0,10000,93.96,1000,1.0,500,500,0,0,0,0,20000,0
5079,MOS001,32753,0,12,0,6,1,0,12400,80.7085156440735,12400,1.0,424,6200,0,501,500,0,24800,60
5080,MOS001,32753,0,12,0,6,1,0,12400,80.7085156440735,12400,1.0,424,6200,0,501,500,0,24800,60
5081,MOS001,32753,0,13,0,6,5,0,13100,60.62,13100,1.0,1,6550,0,644,0,0,26200,0
5082,MOS001,32753,0,13,0,6,5,0,13100,60.62,13100,1.0,1,6550,0,644,0,0,26200,0
5083,MOS001,32753,0,0,0,0,0,0,0,100.0,0,1.0,0,0,0,0,0,0,0,0
5084,MOS001,32753,0,13,0,6,5,0,13100,60.62,13100,1.0,1,6550,0,644,0,0,26200,0
5085,MOS001,32753,0,13,0,6,5,0,13700,59.1137230396271,13700,1.0,1,6850,0,348,0,0,27400,0
5086,MOS001,32753,0,13,0,6,5,0,13700,59.1137230396271,13700,1.0,1,6850,0,348,0,0,27400,0
5087,MOS001,32753,0,0,0,0,0,0,0,100.0,0,1.0,0,0,0,0,0,0,0,0
