,ServiceAreaId,IssuerId,TEHBInnTier1FamilyPerGroupMOOP,OutOfServiceAreaCoverageDescription,SBCHavingaBabyCoinsurance,SBCHavingaBabyDeductible,SBCHavingDiabetesCoinsurance,EHBPercentTotalPremium,SBCHavingDiabetesDeductible,TEHBCombInnOonFamilyPerPersonMOOP,TEHBCombInnOonFamilyPerGroupMOOP,TEHBInnTier1IndividualMOOP,SBCHavingDiabetesCopayment,TEHBCombInnOonIndividualMOOP,SBCHavingaBabyCopayment,TEHBOutOfNetFamilyPerGroupMOOP,TEHBOutOfNetIndividualMOOP,TEHBInnTier1FamilyPerPersonMOOP,TEHBOutOfNetFamilyPerPersonMOOP
19789,KSS001,94248,13600,0,0,6,0,1.0,4,0,0,6,0,0,0,50000,25,6800,25000
19790,KSS001,94248,4000,0,500,1,20,1.0,1,0,0,2,400,0,0,8000,4,4000,8000
19791,KSS001,94248,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0
19792,KSS001,94248,4000,0,500,1,20,1.0,1,0,0,2,400,0,0,8000,4,4000,8000
19793,KSS001,94248,9500,0,400,3,10,1.0,3,0,0,4,300,0,20,19000,9,4750,9500
19794,KSS001,94248,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0
19795,KSS001,94248,9500,0,400,3,10,1.0,3,0,0,4,300,0,20,19000,9,4750,9500
19796,KSS001,94248,6600,0,500,2,20,1.0,2,0,0,3,400,0,20,19000,9,3300,9500
19797,KSS001,94248,2400,0,400,800,50,1.0,800,0,0,1,200,0,0,19000,9,1200,9500
19798,KSS001,94248,13000,0,200,5,0,1.0,5,0,0,6,0,0,20,26000,13,6500,13000
19799,KSS001,94248,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0
19800,KSS001,94248,13000,0,200,5,0,1.0,5,0,0,6,0,0,20,26000,13,6500,13000
19801,KSS001,94248,4000,0,500,1,20,1.0,1,0,0,2,400,0,0,50000,25,4000,50000
19802,KSS001,94248,4000,0,500,1,20,1.0,1,0,0,2,400,0,0,50000,25,4000,50000
19803,KSS001,94248,9500,0,400,3,10,1.0,3,0,0,4,400,0,20,50000,25,4750,25000
19804,KSS001,94248,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0
19805,KSS001,94248,9500,0,400,3,10,1.0,3,0,0,4,400,0,20,50000,25,4750,25000
19806,KSS001,94248,6600,0,500,2,20,1.0,2,0,0,3,500,0,20,50000,25,3300,25000
19807,KSS001,94248,2400,0,400,800,40,1.0,800,0,0,1,200,0,0,50000,25,1200,25000
19808,KSS001,94248,1000,0,200,200,50,1.0,200,0,0,500,90,0,0,50000,25,500,25000
19809,KSS001,94248,13000,0,200,5,0,1.0,5,0,0,6,0,0,20,50000,25,6500,25000
19810,KSS001,94248,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0
19811,KSS001,94248,13000,0,200,5,0,1.0,5,0,0,6,0,0,20,50000,25,6500,25000
19812,KSS001,94248,12400,0,0,1,0,1.0,0,0,0,6,900,0,1,24800,12,6200,12400
19813,KSS001,94248,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0
19814,KSS001,94248,12400,0,0,1,0,1.0,0,0,0,6,900,0,1,24800,12,6200,12400
19815,KSS001,94248,10000,0,0,1,0,1.0,0,0,0,5,900,0,900,24800,12,5000,12400
19816,KSS001,94248,4000,0,10,1,0,1.0,0,0,0,2,500,0,600,24800,12,2000,12400
19817,KSS001,94248,1200,0,80,200,0,1.0,0,0,0,600,500,0,200,24800,12,600,12400
19818,KSS001,94248,7000,0,0,1,0,1.0,0,0,0,3,1,0,900,50000,25,3500,25000
19819,KSS001,94248,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0
19820,KSS001,94248,7000,0,0,1,0,1.0,0,0,0,3,1,0,900,50000,25,3500,25000
19821,KSS001,94248,12400,0,0,1,0,1.0,0,0,0,6,1,0,1,50000,25,6200,25000
